File: server
Build ID: 6bb927709f5a4112556a3cf292ca47f2b149d7b5
Type: cpu
Time: 2026-09-24 15:18:14 EDT
Duration: 20s, Total samples = 1.72s ( 8.60%)
Showing nodes accounting for 1.72s, 100% of 1.72s total
      flat  flat%   sum%        cum   cum%
     0.70s 40.70% 40.70%      0.70s 40.70%  internal/runtime/syscall/linux.Syscall6
         0     0%   100%      0.01s  0.58%  incidentdesk/internal/app.Hash
         0     0%   100%      0.02s  1.16%  incidentdesk/internal/app.ID
         0     0%   100%      0.04s  2.33%  incidentdesk/internal/app.JSON
         0     0%   100%      0.07s  4.07%  incidentdesk/internal/app.decode
         0     0%   100%      0.19s 11.05%  incidentdesk/internal/app.event
         0     0%   100%      0.03s  1.74%  incidentdesk/internal/app.queryJSON
         0     0%   100%      0.01s  0.58%  incidentdesk/internal/app.validateReport
         0     0%   100%      0.02s  1.16%  internal/poll.(*FD).Accept
         0     0%   100%      0.01s  0.58%  internal/poll.(*FD).Close
         0     0%   100%      0.12s  6.98%  internal/poll.(*FD).Read
         0     0%   100%      0.02s  1.16%  internal/poll.(*FD).SetReadDeadline (inline)
         0     0%   100%      0.53s 30.81%  internal/poll.(*FD).Write
         0     0%   100%      0.01s  0.58%  internal/poll.(*FD).decref
         0     0%   100%      0.01s  0.58%  internal/poll.(*FD).destroy
         0     0%   100%      0.01s  0.58%  internal/poll.(*SysFile).destroy (inline)
         0     0%   100%      0.01s  0.58%  internal/poll.(*pollDesc).wait
         0     0%   100%      0.01s  0.58%  internal/poll.(*pollDesc).waitRead (inline)
         0     0%   100%      0.02s  1.16%  internal/poll.accept
         0     0%   100%      0.64s 37.21%  internal/poll.ignoringEINTRIO (inline)
         0     0%   100%      0.02s  1.16%  internal/poll.runtime_pollSetDeadline
         0     0%   100%      0.01s  0.58%  internal/poll.runtime_pollWait
         0     0%   100%      0.02s  1.16%  internal/poll.setDeadlineImpl
         0     0%   100%      0.01s  0.58%  internal/runtime/maps.(*Map).getWithKeySmall
         0     0%   100%      0.01s  0.58%  internal/runtime/maps.(*Map).growToSmall
         0     0%   100%      0.01s  0.58%  internal/runtime/maps.NewEmptyMap (inline)
         0     0%   100%      0.01s  0.58%  internal/runtime/maps.newGroups (inline)
         0     0%   100%      0.01s  0.58%  internal/runtime/maps.newarray
         0     0%   100%      0.05s  2.91%  internal/runtime/syscall/linux.EpollWait
         0     0%   100%      0.02s  1.16%  io.(*LimitedReader).Read
         0     0%   100%      0.04s  2.33%  main.main.func1
         0     0%   100%      0.03s  1.74%  net.(*TCPListener).Accept
         0     0%   100%      0.03s  1.74%  net.(*TCPListener).accept
         0     0%   100%      0.01s  0.58%  net.(*conn).Close
         0     0%   100%      0.02s  1.16%  net.(*conn).SetReadDeadline
         0     0%   100%      0.53s 30.81%  net.(*conn).Write
         0     0%   100%      0.01s  0.58%  net.(*netFD).Close
         0     0%   100%      0.12s  6.98%  net.(*netFD).Read
         0     0%   100%      0.02s  1.16%  net.(*netFD).SetReadDeadline (inline)
         0     0%   100%      0.53s 30.81%  net.(*netFD).Write
         0     0%   100%      0.03s  1.74%  net.(*netFD).accept
         0     0%   100%      0.99s 57.56%  net/http.(*ServeMux).ServeHTTP
         0     0%   100%      0.04s  2.33%  net/http.(*Server).ListenAndServe
         0     0%   100%      0.04s  2.33%  net/http.(*Server).Serve
         0     0%   100%      0.03s  1.74%  net/http.(*body).Read
         0     0%   100%      0.03s  1.74%  net/http.(*body).readLocked
         0     0%   100%      0.03s  1.74%  net/http.(*chunkWriter).Write
         0     0%   100%      0.03s  1.74%  net/http.(*chunkWriter).writeHeader
         0     0%   100%      0.01s  0.58%  net/http.(*conn).close
         0     0%   100%      0.03s  1.74%  net/http.(*conn).readRequest
         0     0%   100%      1.26s 73.26%  net/http.(*conn).serve
         0     0%   100%      0.01s  0.58%  net/http.(*conn).serve.func1
         0     0%   100%      0.05s  2.91%  net/http.(*connReader).Read
         0     0%   100%      0.01s  0.58%  net/http.(*connReader).abortPendingRead
         0     0%   100%      0.01s  0.58%  net/http.(*connReader).backgroundRead
         0     0%   100%      0.01s  0.58%  net/http.(*connReader).startBackgroundRead
         0     0%   100%      0.03s  1.74%  net/http.(*maxBytesReader).Read
         0     0%   100%      0.01s  0.58%  net/http.(*response).WriteHeader
         0     0%   100%      0.10s  5.81%  net/http.(*response).finishRequest
         0     0%   100%      0.01s  0.58%  net/http.Header.Clone (inline)
         0     0%   100%      0.01s  0.58%  net/http.Header.Set
         0     0%   100%      0.06s  3.49%  net/http.checkConnErrorWriter.Write
         0     0%   100%      0.02s  1.16%  net/http.readRequestLimit
         0     0%   100%      0.01s  0.58%  net/http.readTransfer
         0     0%   100%      1.05s 61.05%  net/http.serverHandler.ServeHTTP
         0     0%   100%      0.01s  0.58%  net/http.writeStatusLine
         0     0%   100%      0.01s  0.58%  net/textproto.(*Reader).ReadLine (inline)
         0     0%   100%      0.01s  0.58%  net/textproto.(*Reader).readLineSlice
         0     0%   100%      0.01s  0.58%  net/textproto.MIMEHeader.Set (inline)
         0     0%   100%      0.02s  1.16%  runtime.(*moduledata).funcName
         0     0%   100%      0.01s  0.58%  runtime.(*timer).lock (inline)
         0     0%   100%      0.01s  0.58%  runtime.(*timer).modify
         0     0%   100%      0.01s  0.58%  runtime.(*timer).stop
         0     0%   100%      0.03s  1.74%  runtime.(*timers).check
         0     0%   100%      0.01s  0.58%  runtime.(*unwinder).next
         0     0%   100%      0.01s  0.58%  runtime.(*unwinder).resolveInternal
         0     0%   100%      0.01s  0.58%  runtime.acquirep
         0     0%   100%      0.01s  0.58%  runtime.acquirepNoTrace
         0     0%   100%      0.01s  0.58%  runtime.bgsweep
         0     0%   100%      0.05s  2.91%  runtime.chansend
         0     0%   100%      0.05s  2.91%  runtime.chansend1
         0     0%   100%      0.01s  0.58%  runtime.cheaprandn (inline)
         0     0%   100%      0.01s  0.58%  runtime.copystack
         0     0%   100%      0.01s  0.58%  runtime.entersyscallWakeSysmon
         0     0%   100%      0.01s  0.58%  runtime.finishsweep_m
         0     0%   100%      0.02s  1.16%  runtime.funcname (inline)
         0     0%   100%      0.01s  0.58%  runtime.funcspdelta (inline)
         0     0%   100%      0.05s  2.91%  runtime.futexsleep
         0     0%   100%      0.18s 10.47%  runtime.futexwakeup
         0     0%   100%      0.03s  1.74%  runtime.gcBgMarkWorker
         0     0%   100%      0.03s  1.74%  runtime.gcBgMarkWorker.func2
         0     0%   100%      0.03s  1.74%  runtime.gcDrain
         0     0%   100%      0.03s  1.74%  runtime.gcDrainMarkWorkerDedicated (inline)
         0     0%   100%      0.01s  0.58%  runtime.gcStart
         0     0%   100%      0.01s  0.58%  runtime.gcStart.func3
         0     0%   100%      0.02s  1.16%  runtime.gdestroy
         0     0%   100%      0.20s 11.63%  runtime.goexit0
         0     0%   100%      0.05s  2.91%  runtime.goready (inline)
         0     0%   100%      0.02s  1.16%  runtime.gostringnocopy (inline)
         0     0%   100%      0.01s  0.58%  runtime.growslice
         0     0%   100%      0.01s  0.58%  runtime.heapArenaOf (inline)
         0     0%   100%      0.05s  2.91%  runtime.injectglist
         0     0%   100%      0.03s  1.74%  runtime.injectglist.func1
         0     0%   100%      0.02s  1.16%  runtime.lock (inline)
         0     0%   100%      0.02s  1.16%  runtime.lockWithRank (inline)
         0     0%   100%      0.05s  2.91%  runtime.mPark (inline)
         0     0%   100%      0.01s  0.58%  runtime.makemap_small
         0     0%   100%      0.01s  0.58%  runtime.mallocgcSmallScanNoHeader
         0     0%   100%      0.01s  0.58%  runtime.mapaccess1
         0     0%   100%      0.01s  0.58%  runtime.mapaccess1_faststr
         0     0%   100%      0.01s  0.58%  runtime.mapaccess2
         0     0%   100%      0.02s  1.16%  runtime.mapassign_faststr
         0     0%   100%      0.01s  0.58%  runtime.markroot
         0     0%   100%      0.01s  0.58%  runtime.markrootBlock
